tracking_nr,order_nr,package_nr,fk_delivery_company,return_reasons,shipped_date,delivered_date,receivables,status
5005645018,376654162,MPDS-376654162-2139,1,,2018-07-02,2018-07-04,398,
5005645683,393336162,MPDS-393336162-7265,1,,2018-07-02,2018-07-04,1144,
5005646640,313878162,313878162-8001,1,,2018-07-02,2018-07-03,274.9,
5005646116,384728162,MPDS-384728162-3203,1,,2018-07-02,2018-07-04,1248,
5005646642,361788162,361788162-3397,1,,2018-07-02,2018-07-03,300,
5005646505,383686162,MPDS-383686162-3705,1,,2018-07-02,2018-07-04,2594,
5005644692,319124162,MPDS-319124162-2468,1,,2018-07-02,2018-07-04,1130.74,
5005645725,395452162,MPDS-395452162-6669,1,,2018-07-02,2018-07-04,594,
5005645726,375852162,MPDS-375852162-6585,1,,2018-07-02,2018-07-04,594,
5005646430,391236162,MPDS-391236162-3230,1,,2018-07-02,2018-07-04,1144,
5005646431,347749162,MPDS-347749162-2535,1,,2018-07-02,2018-07-04,1098.5,
5005646432,335749162,MPDS-335749162-1725,1,,2018-07-02,2018-07-04,984,
5005646433,372436162,MPDS-372436162-8022,1,,2018-07-02,2018-07-04,1006.96,
5005645894,371629162,MPDS-371629162-2893,1,,2018-07-02,2018-07-07,2845,
5005646654,393778162,393778162-9688,1,,2018-07-02,2018-07-03,244,
5005646216,399799162,MPDS-399799162-8422,1,,2018-07-02,2018-07-04,1799,
5005645331,348232162,MPDS-348232162-3103,1,,2018-07-02,2018-07-04,835,
5005646658,325458162,325458162-8170,1,,2018-07-02,2018-07-03,351,
5005645437,394846162,MPDS-394846162-4427,1,,2018-07-02,2018-07-04,1399,
5005646659,311658162,311658162-7394,1,,2018-07-02,2018-07-03,145.77,
5005646660,322858162,322858162-1977,1,,2018-07-02,2018-07-03,758,
5005646661,321878162,321878162-9504,1,,2018-07-02,2018-07-04,244,
5005646631,394499162,MPDS-394499162-5295,1,,2018-07-02,2018-07-04,568.24,
5005645950,345749162,MPDS-345749162-2248,1,,2018-07-02,2018-07-04,782.37,
5005645466,367126162,MPDS-367126162-8722,1,,2018-07-02,2018-07-04,1983.37,
5005645391,375496162,MPDS-375496162-9327,1,,2018-07-02,2018-07-04,749,
5005645465,393566162,MPDS-393566162-1447,1,R 13- Quality - item counterfeit,2018-07-02,2018-07-04,417.18,
5005645478,332366162,MPDS-332366162-2669,1,R 11- Quality - item damaged,2018-07-02,2018-07-04,398.5,
5005645566,367416162,MPDS-367416162-1486,1,,2018-07-02,2018-07-04,1338,
5005645710,386556162,MPDS-386556162-8873,1,,2018-07-02,2018-07-04,279.1,
5005645711,373816162,MPDS-373816162-7940,1,,2018-07-02,2018-07-04,161.73,
5005645717,365756162,MPDS-365756162-2167,1,,2018-07-02,2018-07-04,646.5,
5005645816,385689162,MPDS-385689162-8738,1,,2018-07-02,2018-07-04,278.5,
5005645898,373759162,MPDS-373759162-8366,1,,2018-07-02,2018-07-04,156.85,
5005646042,383848162,MPDS-383848162-6793,1,,2018-07-02,2018-07-04,293.98,
5005646541,328536162,MPDS-328536162-5496,1,,2018-07-02,2018-07-04,1144,
5005645453,382346162,MPDS-382346162-9207,1,,2018-07-02,2018-07-04,1848,
5005645558,386726162,MPDS-386726162-1653,1,,2018-07-02,2018-07-04,242.43,
5005645936,373179162,MPDS-373179162-7381,1,,2018-07-02,2018-07-04,748,
5005645051,385954162,MPDS-385954162-4380,1,,2018-07-02,2018-07-04,300,
5005645864,399789162,MPDS-399789162-6098,1,,2018-07-02,2018-07-04,285,
5005646673,394258162,394258162-4771,1,,2018-07-02,2018-07-04,635.11,
5005646297,359959162,MPDS-359959162-9374,1,,2018-07-02,2018-07-04,839,
5005645416,396454162,MPDS-396454162-2374,1,,2018-07-02,2018-07-04,348,
5005645417,372734162,MPDS-372734162-1409,1,,2018-07-02,2018-07-04,2058.99,
5005645418,399262162,MPDS-399262162-5712,1,,2018-07-02,2018-07-04,272.08,
5005645420,386472162,MPDS-386472162-9155,1,,2018-07-02,2018-07-04,334,
5005645426,388452162,MPDS-388452162-2788,1,,2018-07-02,2018-07-04,1544,
5005645424,398272162,MPDS-398272162-1119,1,,2018-07-02,2018-07-07,646.34,
5005645622,395876162,MPDS-395876162-4342,1,,2018-07-02,2018-07-04,296.33,
5005645860,389569162,MPDS-389569162-9372,1,,2018-07-02,2018-07-04,705,
5005645861,382999162,MPDS-382999162-6039,1,,2018-07-02,2018-07-04,55.51,
5005645862,398689162,MPDS-398689162-6028,1,,2018-07-02,2018-07-04,145.33,
5005645300,393714162,MPDS-393714162-8435,1,,2018-07-02,2018-07-04,2545,
5005645301,377552162,MPDS-377552162-7043,1,,2018-07-02,2018-07-04,575,
5005645640,382916162,MPDS-382916162-4930,1,,2018-07-02,2018-07-04,2100,
5005645319,389572162,MPDS-389572162-3952,1,,2018-07-02,2018-07-04,228.75,
5005645619,373856162,MPDS-373856162-8740,1,,2018-07-02,2018-07-04,758,
5005646053,372499162,MPDS-372499162-8181,1,,2018-07-02,2018-07-04,794,
5005646056,382239162,MPDS-382239162-3490,1,,2018-07-02,2018-07-04,465.33,
5005646054,371879162,MPDS-371879162-7612,1,,2018-07-02,2018-07-07,798,
5005645878,376769162,MPDS-376769162-9828,1,,2018-07-02,2018-07-04,1169.75,
5005646650,331848162,MPDS-331848162-6360,1,,2018-07-02,2018-07-04,872.5,
5005646708,355318162,355318162-4566,1,,2018-07-02,2018-07-03,1531,
5005646232,372872162,MPDS-372872162-7058,1,,2018-07-02,2018-07-04,549.5,
5005646235,395116162,MPDS-395116162-5010,1,,2018-07-02,2018-07-04,849.5,
5005646236,338929162,MPDS-338929162-9933,1,,2018-07-02,2018-07-04,745,
5005646383,389828162,MPDS-389828162-4362,1,,2018-07-02,2018-07-04,1598,
5005646413,365756162,MPDS-365756162-2216,1,,2018-07-02,2018-07-04,1492.24,
5005646414,389256162,MPDS-389256162-1665,1,,2018-07-02,2018-07-04,1098.5,
5005646416,343786162,MPDS-343786162-7446,1,,2018-07-02,2018-07-04,1522.6,
5005646444,374346162,MPDS-374346162-4507,1,,2018-07-02,2018-07-04,1044,
5005646493,374388162,MPDS-374388162-5871,1,,2018-07-02,2018-07-04,1098,
5005646677,389456162,MPDS-389456162-7276,1,,2018-07-02,2018-07-04,414,
5005644566,374823562,MPDS-374823562-8207,1,,2018-07-02,2018-07-04,675,
5005646438,356988162,MPDS-356988162-2714,1,,2018-07-02,2018-07-04,1040.99,
5005646712,318858162,318858162-1131,1,,2018-07-02,2018-07-04,168.4,
5005644997,399262162,MPDS-399262162-5961,1,,2018-07-02,2018-07-04,1290.38,
5005646717,367938162,367938162-6067,1,,2018-07-02,2018-07-03,240.66,
5005646628,398756162,MPDS-398756162-6134,1,,2018-07-02,2018-07-04,105.31,
5005646629,383419162,MPDS-383419162-3395,1,,2018-07-02,2018-07-04,217.09,
5005645629,371336162,MPDS-371336162-9841,1,,2018-07-02,2018-07-04,2045,
5005646564,391752162,MPDS-391752162-9929,1,,2018-07-02,2018-07-04,698.5,
5005646727,343358162,343358162-7235,1,,2018-07-02,2018-07-03,235,
5005646728,367938162,367938162-1059,1,,2018-07-02,2018-07-03,1892.96,
5005645779,327469162,MPDS-327469162-2085,1,,2018-07-02,2018-07-04,2044,
5005645709,358469162,MPDS-358469162-6498,1,,2018-07-02,2018-07-04,544,
5005645799,378656162,MPDS-378656162-5944,1,,2018-07-02,2018-07-04,409.8,
5005646600,373968162,MPDS-373968162-3995,1,,2018-07-02,2018-07-04,2598,
5005645353,329112162,MPDS-329112162-9786,1,,2018-07-02,2018-07-04,215.33,
5005645735,331969162,MPDS-331969162-1796,1,,2018-07-02,2018-07-04,177.58,
5005646024,328339162,MPDS-328339162-2840,1,,2018-07-02,2018-07-04,544,
5005646119,319816162,MPDS-319816162-1519,1,,2018-07-02,2018-07-04,595,
5005645752,393566162,MPDS-393566162-1096,1,,2018-07-02,2018-07-04,516.58,
5005644819,391574162,MPDS-391574162-8857,1,,2018-07-02,2018-07-04,2995.99,
5005644821,313613562,MPDS-313613562-5582,1,,2018-07-02,2018-07-04,1144,
5005645674,396752162,MPDS-396752162-5774,1,,2018-07-02,2018-07-04,929.17,
5005645675,377434162,MPDS-377434162-2043,1,,2018-07-02,2018-07-04,1398,
5005645883,387399162,MPDS-387399162-5119,1,,2018-07-02,2018-07-04,1968,
5005646157,393448162,MPDS-393448162-9655,1,,2018-07-02,2018-07-04,1044,
5005646156,395339162,MPDS-395339162-5286,1,,2018-07-02,2018-07-04,998,
5005646736,371838162,371838162-7422,1,,2018-07-02,2018-07-03,323.17,
5005646145,397752162,MPDS-397752162-8750,1,,2018-07-02,2018-07-04,1145,
5005646123,368766162,MPDS-368766162-7223,1,,2018-07-02,2018-07-04,694,
5005646644,371258162,MPDS-371258162-2461,1,,2018-07-02,2018-07-04,1644,
5005646465,398449162,MPDS-398449162-3965,1,,2018-07-02,2018-07-04,1632.5,
5005646467,393628162,MPDS-393628162-5754,1,,2018-07-02,2018-07-04,1489,
5005646617,391459162,MPDS-391459162-1536,1,,2018-07-02,2018-07-04,874,
5005646619,381299162,MPDS-381299162-4698,1,,2018-07-02,2018-07-04,915,
5005646618,399978162,MPDS-399978162-1090,1,,2018-07-02,2018-07-04,421.18,
5005646744,397338162,397338162-4002,1,,2018-07-02,2018-07-03,763.93,
